theme,url,img,lines,author
INTEGRITY,/inspirational-quotes/4266-the-most-important-persuasion-tool-you-have-in,https://assets.passiton.com/quotes/quote_artwork/4266/medium/20240719_friday_quote.jpg,The most important persuasion tool you have in your entire arsenal is integrity.,<Author:0x00007f2dee7a2d80>
INTEGRITY,/inspirational-quotes/6580-when-you-say-yes-to-others-make-sure-you-arent,https://assets.passiton.com/quotes/quote_artwork/6580/medium/20240718_thursday_quote.jpg,"When you say 'yes' to others, make sure you aren't saying 'no' to yourself.",<Author:0x00007f2dee78a348>
INTEGRITY,/inspirational-quotes/8098-the-time-is-always-right-to-do-what-is-right,https://assets.passiton.com/quotes/quote_artwork/8098/medium/20240717_wednesday_quote.jpg,The time is always right to do what is right.,<Author:0x00007f2dee770420>
INTEGRITY,/inspirational-quotes/8264-integrity-is-the-choice-between-whats,https://assets.passiton.com/quotes/quote_artwork/8264/medium/20240716_tuesday_quote.jpg,Integrity is the choice between what's convenient and what's right.,<Author:0x00007f2dee7d0ff0>
INTEGRITY,/inspirational-quotes/8435-integrity-is-doing-the-right-thing-even-when,https://assets.passiton.com/quotes/quote_artwork/8435/medium/20240715_monday_quote.jpg,"Integrity is doing the right thing, even when no one is watching.",<Author:0x00007f2dee7b3770>
WONDER,/inspirational-quotes/7723-wonder-is-seeing-things-the-way-you-saw-them,https://assets.passiton.com/quotes/quote_artwork/7723/medium/20240712_friday_quote.jpg,Wonder is seeing things the way you saw them before they became ordinary.,<Author:0x00007f2dee818148>
WONDER,/inspirational-quotes/8434-you-will-enrich-your-life-immeasurably-if-you,https://assets.passiton.com/quotes/quote_artwork/8434/medium/20240711_thursday_quote.jpg,"You will enrich your life immeasurably if you approach it with a sense of wonder and discovery, and always challenge yourself to try new things.",<Author:0x00007f2dee7f9f18>
WONDER,/inspirational-quotes/7953-we-carry-within-us-the-wonders-we-seek-around-us,https://assets.passiton.com/quotes/quote_artwork/7953/medium/20240710_wednesday_quote.jpg,"We carry within us, the wonders we seek around us.",<Author:0x00007f2deda42960>
WONDER,/inspirational-quotes/7722-it-is-a-happiness-to-wonder-it-is-a-happiness,https://assets.passiton.com/quotes/quote_artwork/7722/medium/20240709_tuesday_quote.jpg,It is a happiness to wonder—it is a happiness to dream.,<Author:0x00007f2dee841fc0>
WONDER,/inspirational-quotes/7956-always-be-on-the-lookout-for-the-presence-of,https://assets.passiton.com/quotes/quote_artwork/7956/medium/20240708_monday_quote.jpg,Always be on the lookout for the presence of wonder.,<Author:0x00007f2dee8cce18>
FAMILY,/inspirational-quotes/7575-we-must-take-care-of-our-families-wherever-we,https://assets.passiton.com/quotes/quote_artwork/7575/medium/20240705_friday_quote.jpg,We must take care of our families wherever we find them.,<Author:0x00007f2dee8b5678>
FAMILY,/inspirational-quotes/7852-family-and-friends-are-hidden-treasures-seek,https://assets.passiton.com/quotes/quote_artwork/7852/medium/20240704_thursday_quote.jpg,"Family and friends are hidden treasures, seek them and enjoy their riches.",<Author:0x00007f2dee89e298>
FAMILY,/inspirational-quotes/7744-other-things-may-change-us-but-we-start-and,https://assets.passiton.com/quotes/quote_artwork/7744/medium/20240703_wednesday_quote.jpg,"Other things may change us, but we start and end with the family. ",<Author:0x00007f2dee902838>
FAMILY,/inspirational-quotes/7573-family-is-not-an-important-thing-its-everything,https://assets.passiton.com/quotes/quote_artwork/7573/medium/20240702_tuesday_quote.jpg,Family is not an important thing. It's everything.,<Author:0x00007f2dee8dfd88>
